Country/Territory,Continent,1990 Population,2000 Population,2010 Population,2022 Population,Growth_1990_2000_%,Growth_2000_2010_%,Growth_2010_2022_%
Guinea-Bissau,Africa,973551,1230849,1567220,2105566,26.43,27.33,34.35
Guyana,South America,747116,759051,747932,808726,1.6,-1.46,8.13
Haiti,North America,6925331,8360225,9842880,11584996,20.72,17.73,17.7
Honduras,North America,5053234,6656725,8450933,10432860,31.73,26.95,23.45
Hong Kong,Asia,5838574,6731195,7132438,7488865,15.29,5.96,5.0
Hungary,Europe,10375989,10202055,9986825,9967308,-1.68,-2.11,-0.2
Iceland,Europe,255019,281462,318333,372899,10.37,13.1,17.14
India,Asia,870452165,1059633675,1240613620,1417173173,21.73,17.08,14.23
Indonesia,Asia,182159874,214072421,244016173,275501339,17.52,13.99,12.9
Iran,Asia,55793629,65544383,75373855,88550570,17.48,15.0,17.48
Iraq,Asia,17658381,24628858,31264875,44496122,39.47,26.94,42.32
Ireland,Europe,3485374,3768950,4524585,5023109,8.14,20.05,11.02
Isle of Man,Europe,68865,75562,83828,84519,9.72,10.94,0.82
Israel,Asia,4803254,6116958,7328445,9038309,27.35,19.81,23.33
Italy,Europe,56756561,56966397,59822450,59037474,0.37,5.01,-1.31
Ivory Coast,Africa,11910540,16799670,21120042,28160542,41.05,25.72,33.34
Jamaica,North America,2392030,2612205,2733896,2827377,9.2,4.66,3.42
Japan,Asia,123686321,126803861,128105431,123951692,2.52,1.03,-3.24
Jersey,Europe,82874,86192,96151,110778,4.0,11.55,15.21
Jordan,Asia,3480587,5056174,6931258,11285869,45.27,37.09,62.83
Kazakhstan,Asia,16866563,15236253,16627837,19397998,-9.67,9.13,16.66
Kenya,Africa,23162269,30851606,41517895,54027487,33.2,34.57,30.13
Kiribati,Oceania,75124,88826,107995,131232,18.24,21.58,21.52
Kuwait,Asia,1674938,1934901,2943356,4268873,15.52,52.12,45.03
Kyrgyzstan,Asia,4394734,4935182,5483774,6630623,12.3,11.12,20.91
Laos,Asia,4314443,5430853,6323418,7529475,25.88,16.44,19.07
Latvia,Europe,2689391,2392530,2101530,1850651,-11.04,-12.16,-11.94
Lebanon,Asia,3593700,4320642,4995800,5489739,20.23,15.63,9.89
Lesotho,Africa,1798997,1998630,2022747,2305825,11.1,1.21,13.99
Liberia,Africa,2209731,2895224,4019956,5302681,31.02,38.85,31.91
Libya,Africa,4236983,5154790,6491988,6812341,21.66,25.94,4.93
Liechtenstein,Europe,28765,33026,35926,39327,14.81,8.78,9.47
Lithuania,Europe,3785847,3599637,3139019,2750055,-4.92,-12.8,-12.39
Luxembourg,Europe,381267,435628,507070,647599,14.26,16.4,27.71
Macau,Asia,350227,431896,557297,695168,23.32,29.03,24.74
Madagascar,Africa,11882762,16216431,21731053,29611714,36.47,34.01,36.26
Malawi,Africa,9539665,11229387,14718422,20405317,17.71,31.07,38.64
Malaysia,Asia,17517054,22945150,28717731,33938221,30.99,25.16,18.18
Maldives,Asia,224957,282507,361575,523787,25.58,27.99,44.86
Mali,Africa,8945026,11239101,15529181,22593590,25.65,38.17,45.49
